Time,x-force,y-force,z-force
18/06/2021 09:54:45.134,-0.0549642243360005,-0.5904625508925,-0.257389712799599
18/06/2021 09:54:45.144,-0.108135464976,-0.735796779217502,-0.4442246523676
18/06/2021 09:54:45.154,-0.084022925615999,-0.910423177592502,-0.2180560413116
18/06/2021 09:54:45.164,-0.145231679376002,-0.819166801667503,-0.358182245987599
18/06/2021 09:54:45.174,-0.0599103862560018,-0.560043758917502,-0.3975159174756
18/06/2021 09:54:45.184,-0.109990275696001,-0.561170380842501,-0.2008475600356
18/06/2021 09:54:45.194,-0.0623834672160015,-0.600602148217501,-0.454058070239601
18/06/2021 09:54:45.204,-0.127920112656,-0.857471947117499,-0.370474018327599
18/06/2021 09:54:45.214,-0.0994796816159997,-0.687352036442501,-0.1123467991876
18/06/2021 09:54:45.224,-0.0871142768159991,-0.650173512917501,-0.515516931939599
18/06/2021 09:54:45.234,-0.0766036827360015,-0.476673736467504,-0.259848067267599
18/06/2021 09:54:45.244,-0.0537276838559997,-0.643413781367503,-0.161513888547601
18/06/2021 09:54:45.254,-0.121737410255999,-0.758329217717503,-0.567142375767601
18/06/2021 09:54:45.264,-0.082786385136,-0.939715347642501,-0.220514395779599
18/06/2021 09:54:45.274,-0.135339355536001,-0.8788777636925,-0.3286819923716
18/06/2021 09:54:45.284,-0.0518728731359985,-0.558917136992502,-0.431932880027601
18/06/2021 09:54:45.294,-0.129156653136,-0.464280895292504,-0.0582630008915999
18/06/2021 09:54:45.304,-0.0673296291359993,-0.322326532742501,-0.431932880027601
18/06/2021 09:54:45.314,-0.108135464976,-0.784241521992502,-0.365557309391599
18/06/2021 09:54:45.324,-0.101952762576001,-0.9307023722425,-0.1590555340796
18/06/2021 09:54:45.334,-0.101952762576001,-0.957741298442503,-0.545017185555601
18/06/2021 09:54:45.344,-0.105662384016,-0.600602148217501,-0.2328061681196
18/06/2021 09:54:45.354,-0.0531094136159993,-0.4778003583925,-0.176264015355599
18/06/2021 09:54:45.364,-0.0772219529760001,-0.507092528442502,-0.5130585774716
18/06/2021 09:54:45.374,-0.0654748184160017,-0.792127875467504,-0.1787223698236
18/06/2021 09:54:45.384,-0.139048976975999,-0.939715347642501,-0.358182245987599
18/06/2021 09:54:45.394,-0.125447031696002,-0.771848680817502,-0.4737249059836
18/06/2021 09:54:45.404,-0.102571032816,-0.629894318267503,-0.1590555340796
18/06/2021 09:54:45.414,-0.0580555755360006,-0.510472394217501,-0.4368495889636
18/06/2021 09:54:45.424,-0.0747488720160003,-0.634400805967502,-0.3925992085396
18/06/2021 09:54:45.434,-0.118646059056001,-0.809027204342502,-0.122180217059601
18/06/2021 09:54:45.444,-0.116172978095999,-0.840572618242501,-0.569600730235601
18/06/2021 09:54:45.454,-0.0902056280160011,-0.7279104257425,-0.1860974332276
18/06/2021 09:54:45.464,-0.0586738457760028,-0.572436600092502,-0.1934724966316
18/06/2021 09:54:45.474,-0.0580555755360006,-0.565676868542504,-0.5425588310876
18/06/2021 09:54:45.484,-0.112463356656001,-0.718897450342503,-0.188555787695599
18/06/2021 09:54:45.494,-0.131011463856002,-0.953234810742501,-0.3975159174756
18/06/2021 09:54:45.504,-0.118646059056001,-0.899156958342502,-0.5179752864076
18/06/2021 09:54:45.514,-0.0753671422560025,-0.7042513653175,-0.0951383179115997
18/06/2021 09:54:45.524,-0.0821681148960014,-0.406823177117502,-0.3999742719436
18/06/2021 09:54:45.534,-0.0772219529760001,-0.5408911861925,-0.3925992085396
18/06/2021 09:54:45.544,-0.111845086416002,-0.720024072267503,-0.119721862591598
18/06/2021 09:54:45.554,-0.0945335196960002,-1.1334943187425,-0.5941842749156
18/06/2021 09:54:45.564,-0.0988614113760011,-0.912676421442502,-0.250014649395601
18/06/2021 09:54:45.574,-0.0858777363360002,-0.623134586717502,-0.124638571527601
18/06/2021 09:54:45.584,-0.0698027100960026,-0.136433915117504,-0.5106002230036
18/06/2021 09:54:45.594,-0.0908238982560015,-0.407949799042502,-0.198389205567601
18/06/2021 09:54:45.604,-0.0945335196960002,-0.8169135578175,-0.245097940459599
18/06/2021 09:54:45.614,-0.122355680496,-1.0782898444175,-0.601559338319602
18/06/2021 09:54:45.624,-0.118646059056001,-0.997173065817503,-0.2254311047156
18/06/2021 09:54:45.634,-0.104425843536001,-0.472167248767501,-0.318848574499601
18/06/2021 09:54:45.644,-0.0351795766559988,-0.384290738617501,-0.419641107687601
18/06/2021 09:54:45.654,-0.0549642243360005,-0.472167248767501,-0.1565971796116
18/06/2021 09:54:45.664,-0.0809315744160024,-0.961121164217502,-0.3975159174756
18/06/2021 09:54:45.674,-0.129774923376001,-0.983653602717503,-0.4220994621556
18/06/2021 09:54:45.684,-0.122355680496,-0.909296555667499,-0.2303478136516
18/06/2021 09:54:45.694,-0.0803133041760002,-0.571309978167502,-0.4417662978996
18/06/2021 09:54:45.704,-0.0512546028960017,-0.455267919892503,-0.3237652834356
18/06/2021 09:54:45.714,-0.0846411958560012,-0.549904161592501,-0.2106809779076
18/06/2021 09:54:45.724,-0.122355680496,-0.841699240167504,-0.4884750327916
18/06/2021 09:54:45.734,-0.109990275696001,-0.925069262617502,-0.3532655370516
18/06/2021 09:54:45.744,-0.0815498446559992,-0.922816018767502,-0.122180217059601
18/06/2021 09:54:45.754,-0.0574373052959984,-0.432735481392502,-0.5573089578956
18/06/2021 09:54:45.764,-0.043217089776002,-0.475547114542501,-0.1860974332276
18/06/2021 09:54:45.774,-0.113081626896001,-0.694111767992503,-0.3139318655636
